user_id,email,age,gender,country,city,signup_date,acquisition_channel,device_type,payment_method
1,user1@email.com,25,M,CA,City_32,2023-11-24,Paid Search,Desktop,Debit Card
2,user2@email.com,61,Other,DE,City_12,2023-02-22,Referral,Mobile,Credit Card
3,user3@email.com,31,M,DE,City_78,2023-02-17,Organic,Desktop,Debit Card
4,user4@email.com,62,Other,AU,City_29,2023-11-29,Referral,Smart TV,Credit Card
5,user5@email.com,62,F,CA,City_36,2023-03-23,Paid Search,Desktop,PayPal
6,user6@email.com,23,F,US,City_46,2023-02-22,Social Media,Smart TV,Credit Card
7,user7@email.com,52,M,AU,City_11,2023-08-24,Social Media,Smart TV,Debit Card
8,user8@email.com,63,M,US,City_85,2023-04-09,Paid Search,Smart TV,Credit Card
9,user9@email.com,24,F,CA,City_59,2023-04-30,Social Media,Desktop,PayPal
10,user10@email.com,31,Other,CA,City_90,2023-07-01,Organic,Desktop,Debit Card
11,user11@email.com,28,F,AU,City_35,2023-05-06,Paid Search,Smart TV,Credit Card
12,user12@email.com,20,F,AU,City_35,2023-04-28,Organic,Desktop,Debit Card
13,user13@email.com,31,Other,AU,City_51,2023-06-11,Referral,Desktop,PayPal
14,user14@email.com,33,Other,DE,City_69,2023-03-13,Social Media,Tablet,Debit Card
15,user15@email.com,41,M,UK,City_66,2023-07-24,Referral,Mobile,Credit Card
16,user16@email.com,27,Other,UK,City_88,2023-02-26,Referral,Mobile,PayPal
17,user17@email.com,56,F,DE,City_33,2023-07-15,Organic,Mobile,Debit Card
18,user18@email.com,35,Other,CA,City_15,2023-10-02,Social Media,Tablet,Credit Card
19,user19@email.com,18,Other,CA,City_65,2023-08-21,Paid Search,Mobile,Debit Card
20,user20@email.com,58,Other,DE,City_26,2023-06-02,Paid Search,Smart TV,Credit Card
21,user21@email.com,51,M,DE,City_42,2023-10-04,Referral,Mobile,Credit Card
22,user22@email.com,37,M,US,City_31,2023-07-05,Organic,Mobile,Debit Card
23,user23@email.com,22,Other,UK,City_17,2023-09-06,Referral,Desktop,PayPal
24,user24@email.com,56,F,UK,City_70,2023-09-28,Paid Search,Smart TV,PayPal
25,user25@email.com,59,F,AU,City_67,2023-12-10,Referral,Mobile,Credit Card
26,user26@email.com,22,F,US,City_76,2023-04-26,Paid Search,Desktop,Credit Card
27,user27@email.com,63,Other,US,City_30,2023-02-06,Organic,Mobile,PayPal
28,user28@email.com,50,M,CA,City_86,2023-02-06,Referral,Desktop,Debit Card
29,user29@email.com,64,Other,DE,City_61,2023-03-09,Paid Search,Tablet,PayPal
30,user30@email.com,24,M,AU,City_46,2023-04-08,Referral,Tablet,PayPal
31,user31@email.com,61,Other,US,City_8,2023-01-28,Referral,Smart TV,Credit Card
32,user32@email.com,30,M,DE,City_58,2023-05-08,Paid Search,Tablet,Credit Card
33,user33@email.com,47,M,US,City_57,2023-05-23,Organic,Mobile,Debit Card
34,user34@email.com,18,M,UK,City_22,2023-10-04,Referral,Tablet,PayPal
35,user35@email.com,43,M,UK,City_49,2023-04-20,Organic,Tablet,PayPal
36,user36@email.com,36,F,DE,City_85,2023-08-21,Referral,Desktop,Credit Card
37,user37@email.com,31,M,DE,City_95,2023-06-01,Organic,Smart TV,Credit Card
38,user38@email.com,55,F,DE,City_68,2023-01-26,Paid Search,Mobile,Debit Card
39,user39@email.com,29,M,DE,City_9,2023-02-11,Paid Search,Tablet,Credit Card
40,user40@email.com,33,Other,DE,City_6,2023-10-19,Organic,Tablet,Debit Card
41,user41@email.com,54,Other,CA,City_34,2023-10-26,Paid Search,Smart TV,Credit Card
42,user42@email.com,43,M,CA,City_59,2023-05-16,Social Media,Mobile,Credit Card
43,user43@email.com,57,Other,US,City_10,2023-08-23,Paid Search,Smart TV,Credit Card
44,user44@email.com,22,M,CA,City_37,2023-06-28,Paid Search,Tablet,Debit Card
45,user45@email.com,37,Other,DE,City_2,2023-12-27,Social Media,Mobile,Credit Card
46,user46@email.com,25,M,DE,City_20,2023-05-16,Social Media,Smart TV,Debit Card
47,user47@email.com,63,F,UK,City_88,2023-04-18,Social Media,Tablet,PayPal
48,user48@email.com,23,Other,AU,City_36,2023-01-27,Organic,Mobile,PayPal
49,user49@email.com,58,F,UK,City_95,2023-03-08,Referral,Tablet,Debit Card
50,user50@email.com,25,M,UK,City_70,2023-01-05,Organic,Smart TV,Debit Card
51,user51@email.com,27,F,UK,City_6,2023-10-10,Social Media,Smart TV,Credit Card
52,user52@email.com,31,Other,UK,City_86,2023-07-03,Organic,Smart TV,Debit Card
53,user53@email.com,57,Other,UK,City_31,2023-07-28,Paid Search,Desktop,PayPal
54,user54@email.com,29,Other,CA,City_53,2023-01-13,Paid Search,Smart TV,Credit Card
55,user55@email.com,24,F,US,City_61,2023-12-26,Paid Search,Desktop,PayPal
56,user56@email.com,37,M,UK,City_4,2023-06-29,Paid Search,Tablet,PayPal
57,user57@email.com,22,F,CA,City_83,2023-05-23,Referral,Smart TV,Credit Card
58,user58@email.com,34,M,DE,City_34,2023-03-01,Organic,Mobile,Debit Card
59,user59@email.com,40,Other,CA,City_56,2023-08-11,Organic,Tablet,Debit Card
60,user60@email.com,34,M,AU,City_1,2023-04-08,Paid Search,Smart TV,PayPal
61,user61@email.com,60,F,DE,City_41,2023-02-05,Organic,Smart TV,Debit Card
62,user62@email.com,60,F,CA,City_52,2023-06-08,Social Media,Desktop,Credit Card
63,user63@email.com,60,F,UK,City_79,2023-08-04,Social Media,Tablet,Debit Card
64,user64@email.com,37,F,UK,City_56,2023-01-01,Social Media,Tablet,PayPal
65,user65@email.com,61,M,DE,City_61,2023-08-15,Paid Search,Mobile,PayPal
66,user66@email.com,60,Other,DE,City_43,2023-09-21,Organic,Desktop,Debit Card
67,user67@email.com,32,M,UK,City_4,2023-06-08,Organic,Desktop,PayPal
68,user68@email.com,22,F,AU,City_81,2023-11-09,Paid Search,Tablet,PayPal
69,user69@email.com,33,M,US,City_97,2023-07-24,Organic,Tablet,Credit Card
70,user70@email.com,62,Other,AU,City_7,2023-04-01,Paid Search,Mobile,PayPal
71,user71@email.com,47,Other,DE,City_72,2023-03-10,Social Media,Tablet,Debit Card
72,user72@email.com,45,Other,AU,City_21,2023-09-16,Referral,Tablet,PayPal
73,user73@email.com,58,F,DE,City_63,2023-05-07,Paid Search,Smart TV,PayPal
74,user74@email.com,63,F,UK,City_35,2023-02-09,Social Media,Smart TV,Debit Card
75,user75@email.com,26,M,UK,City_50,2023-02-11,Paid Search,Desktop,Credit Card
76,user76@email.com,44,F,DE,City_60,2023-08-01,Referral,Mobile,Credit Card
77,user77@email.com,42,Other,US,City_98,2023-08-04,Referral,Tablet,Credit Card
78,user78@email.com,37,F,AU,City_69,2023-06-30,Paid Search,Tablet,Credit Card
79,user79@email.com,45,F,US,City_50,2023-05-20,Social Media,Tablet,Debit Card
80,user80@email.com,47,M,DE,City_69,2023-03-26,Organic,Tablet,Debit Card
81,user81@email.com,60,M,US,City_83,2023-10-16,Referral,Desktop,PayPal
82,user82@email.com,21,F,AU,City_42,2023-04-04,Paid Search,Tablet,PayPal
83,user83@email.com,42,F,AU,City_33,2023-06-22,Organic,Tablet,Credit Card
84,user84@email.com,21,F,UK,City_84,2023-10-04,Organic,Mobile,Credit Card
85,user85@email.com,30,M,DE,City_20,2023-05-07,Paid Search,Desktop,PayPal
86,user86@email.com,25,Other,UK,City_60,2023-12-09,Social Media,Smart TV,Credit Card
87,user87@email.com,56,Other,US,City_100,2023-11-07,Paid Search,Smart TV,Credit Card
88,user88@email.com,19,F,DE,City_87,2023-10-24,Referral,Tablet,Debit Card
89,user89@email.com,22,Other,UK,City_14,2023-04-12,Social Media,Mobile,Debit Card
90,user90@email.com,40,Other,AU,City_85,2023-01-22,Social Media,Mobile,Debit Card
91,user91@email.com,39,M,AU,City_63,2023-11-28,Organic,Tablet,PayPal
92,user92@email.com,47,Other,UK,City_56,2023-11-22,Paid Search,Smart TV,Debit Card
93,user93@email.com,48,F,AU,City_94,2023-10-03,Social Media,Smart TV,Credit Card
94,user94@email.com,35,F,UK,City_97,2023-02-14,Referral,Tablet,PayPal
95,user95@email.com,49,F,UK,City_63,2023-01-15,Paid Search,Smart TV,PayPal
96,user96@email.com,35,Other,CA,City_72,2023-06-24,Organic,Desktop,Credit Card
97,user97@email.com,64,F,AU,City_72,2023-05-04,Paid Search,Tablet,Debit Card
98,user98@email.com,49,F,US,City_12,2023-12-31,Social Media,Desktop,PayPal
99,user99@email.com,33,F,DE,City_48,2023-12-21,Referral,Smart TV,PayPal
100,user100@email.com,39,F,AU,City_35,2023-10-09,Social Media,Smart TV,Credit Card
101,user101@email.com,64,M,CA,City_16,2023-03-03,Paid Search,Desktop,Credit Card
102,user102@email.com,35,Other,DE,City_98,2023-09-05,Social Media,Mobile,Credit Card
103,user103@email.com,32,F,UK,City_39,2023-06-01,Organic,Desktop,PayPal
104,user104@email.com,21,Other,CA,City_90,2023-01-24,Paid Search,Tablet,Credit Card
105,user105@email.com,54,F,AU,City_62,2023-01-07,Referral,Smart TV,Credit Card
106,user106@email.com,34,F,US,City_9,2023-01-27,Referral,Tablet,Credit Card
107,user107@email.com,58,Other,US,City_20,2023-10-23,Paid Search,Smart TV,Credit Card
108,user108@email.com,25,Other,AU,City_78,2023-05-08,Paid Search,Tablet,PayPal
109,user109@email.com,37,Other,AU,City_40,2023-08-15,Organic,Mobile,Credit Card
110,user110@email.com,31,F,US,City_21,2023-11-17,Paid Search,Desktop,Debit Card
111,user111@email.com,28,M,AU,City_58,2023-02-08,Referral,Smart TV,Credit Card
112,user112@email.com,36,Other,CA,City_90,2023-04-29,Referral,Mobile,Debit Card
113,user113@email.com,34,Other,DE,City_85,2023-04-30,Paid Search,Tablet,Credit Card
114,user114@email.com,32,Other,UK,City_35,2023-10-06,Paid Search,Mobile,Credit Card
115,user115@email.com,37,Other,DE,City_37,2023-03-26,Referral,Mobile,PayPal
116,user116@email.com,37,Other,AU,City_35,2023-12-19,Referral,Tablet,Credit Card
117,user117@email.com,20,F,CA,City_78,2023-11-03,Social Media,Mobile,Credit Card
118,user118@email.com,61,Other,DE,City_3,2023-04-28,Social Media,Mobile,Credit Card
119,user119@email.com,51,Other,AU,City_36,2023-08-29,Paid Search,Tablet,Debit Card
120,user120@email.com,23,F,CA,City_53,2023-09-09,Social Media,Smart TV,Debit Card
121,user121@email.com,28,F,AU,City_89,2023-02-23,Referral,Smart TV,Debit Card
122,user122@email.com,53,M,AU,City_12,2023-07-25,Social Media,Smart TV,PayPal
123,user123@email.com,43,Other,US,City_85,2023-03-01,Referral,Tablet,Credit Card
124,user124@email.com,51,F,DE,City_97,2023-04-07,Referral,Tablet,Credit Card
125,user125@email.com,35,Other,UK,City_37,2023-04-15,Referral,Tablet,Credit Card
126,user126@email.com,58,Other,UK,City_91,2023-01-15,Paid Search,Smart TV,Debit Card
127,user127@email.com,53,F,US,City_29,2023-01-08,Organic,Tablet,Credit Card
128,user128@email.com,27,F,CA,City_66,2023-11-28,Social Media,Tablet,PayPal
129,user129@email.com,33,F,DE,City_19,2023-08-30,Referral,Desktop,Debit Card
130,user130@email.com,65,M,US,City_36,2023-09-18,Referral,Smart TV,Debit Card
